#OTU ID	CJ1_B_Fr	CJ1_S_Fr	LG1_B_Fr	LG1_S_Fr	LG2_B_Fr	LG2_S_Fr	SY1_B_Fr	SY1_S_Fr	SY2_B_Fr	SY2_S_Fr	WC1_B_Fr	WC1_S_Fr	WC2_B_Fr	WC2_S_Fr	W18_Fr	W19_Fr	W20_Fr	W21_Fr	W22_Fr	W23_Fr	W24_Fr	W25_Fr	W26_Fr	W27_Fr	W28_Fr	W29_Fr	W30_Fr	W31_Fr	W32_Fr	W33_Fr	W34_Fr	W35_Fr	W36_Fr	W37_Fr	W38_Fr	W39_Fr	W40_Fr	W41_Fr	W42_Fr	W43_Fr	W44_Fr	W45_Fr
DJ_BAC_ASV_1	113	13	42	0	71	150	8	3	5	14	60	49	234	191	6453	9976	6465	8483	2711	4307	4730	4461	3747	2704	4108	10462	7820	5768	4250	4982	2486	4192	3633	3557	2489	3216	2268	1888	1462	1883	2921	3243
DJ_BAC_ASV_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	185	201	177	184	251	425	359	487	327	589	584	3265	1029	1843	1246	2254	1570	2531	2880	5175	5361	6779	4925	3523	5843	3676	4411
DJ_BAC_ASV_9	1541	2333	1888	3125	1012	1481	3781	3889	2813	2876	1419	2025	116	120	1468	1066	1482	662	320	2670	1427	946	191	1446	56	35	39	13	1261	1475	24	189	7	70	80	29	532	1890	255	72	105	75
DJ_BAC_ASV_5	0	0	0	2	0	6	0	0	0	0	0	0	8	6	202	538	194	323	940	821	1560	451	998	1689	4463	1979	2187	788	1335	1186	670	1076	1223	1533	1127	560	936	674	513	717	311	561
DJ_BAC_ASV_3	0	0	0	0	0	26	0	0	0	0	0	0	64	15	88	127	80	85	361	595	213	391	536	324	934	1117	1755	631	782	1479	851	1895	2100	1606	1830	1912	1430	818	613	2220	642	2520
DJ_BAC_ASV_10	174	267	1580	486	1808	1512	1278	2340	1426	1701	1317	1750	1337	1678	825	508	841	674	245	472	652	470	135	558	211	88	61	0	70	206	33	115	47	74	119	31	49	142	369	179	309	288
DJ_BAC_ASV_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	103	86	81	827	2407	179	635	3257	1026	595	1220	325	1706	1799	769	4028	1083	391	262	439	226	466	207	199	412	287	268
DJ_BAC_ASV_14	0	0	0	0	6	16	0	0	0	0	4	2	10	12	42	47	59	47	911	269	224	219	867	1724	274	159	197	954	917	1960	301	581	2700	1449	841	2826	281	103	97	95	1044	485
DJ_BAC_ASV_8	118	188	963	313	891	711	784	1391	789	994	683	980	631	892	1010	628	895	777	149	286	348	344	223	515	249	132	100	26	89	225	29	144	30	76	120	35	44	135	535	249	381	315
DJ_BAC_ASV_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	68	58	35	469	1399	127	355	1893	538	341	638	190	1089	975	440	2300	770	234	174	231	126	288	104	103	278	189	166
