#OTU ID	CJ1_B_At	CJ1_S_At	LG1_B_At	LG1_S_At	LG2_S_At	SY1_B_At	SY1_S_At	SY2_B_At	SY2_S_At	WC1_B_At	WC1_S_At	WC2_B_At	WC2_S_At	W18_A	W19_A	W20_A	W21_A	W22_A	W23_A	W24_A	W25_A	W26_A	W27_A	W28_A	W29_A	W30_A	W31_A	W32_A	W33_A	W34_A	W35_A	W36_A	W37_A	W38_A	W39_A	W40_A	W41_A	W42_A	W43_A	W44_A	W45_A
DJ_BAC_ASV_1	51	785	477	579	480	137	289	560	158	23	201	137	309	9242	2499	5655	5921	3705	2490	9732	5474	4369	5330	9497	12401	13065	13600	7395	8814	4971	6921	4324	5529	8341	3252	5065	4235	2471	3746	6997	3773
DJ_BAC_ASV_3	0	0	56	196	67	56	13	51	17	0	19	0	0	272	104	119	180	197	767	323	313	636	651	653	1475	1585	1152	1254	1641	2096	1450	3444	1601	2236	5195	5964	2680	3309	3218	1561	3722
DJ_BAC_ASV_2	0	0	0	0	0	0	0	0	0	0	0	0	0	101	245	115	123	69	120	200	200	179	155	157	174	167	188	799	625	1579	574	993	1325	2428	2601	2487	4016	6837	2945	1649	4469
DJ_BAC_ASV_10	626	1012	2334	2461	3190	1183	1815	414	681	68	1693	1989	1683	169	527	80	383	808	602	116	123	18	50	15	0	15	0	0	55	0	0	26	14	0	0	0	45	0	40	0	26
DJ_BAC_ASV_5	0	0	2	41	16	30	8	0	0	0	0	0	0	203	1510	277	536	351	835	208	544	896	1727	355	1438	1314	403	2201	1385	809	1523	668	954	463	253	315	1050	407	335	249	735
DJ_BAC_ASV_7	0	0	0	0	0	0	0	0	0	0	0	0	0	66	120	44	103	95	268	116	141	1880	2161	398	371	248	104	1921	878	516	1351	2050	249	209	661	145	92	137	151	177	233
DJ_BAC_ASV_20	22	0	0	0	0	0	0	0	0	0	0	0	0	89	65	67	89	131	77	69	89	278	303	91	153	87	17	169	112	498	237	1340	380	1111	978	1070	138	859	366	5137	399
DJ_BAC_ASV_15	27	41	15	17	10	6	0	33	22	48	13	0	107	48	113	126	137	182	323	370	719	1003	812	1323	1015	323	259	311	268	552	427	742	664	325	741	320	326	380	457	251	275
DJ_BAC_ASV_11	33	508	221	209	52	74	343	369	164	13	51	93	27	280	115	344	592	1201	370	265	279	1742	414	873	76	128	257	304	194	338	282	217	261	170	537	103	154	68	113	212	241
DJ_BAC_ASV_8	351	546	1052	1199	1343	569	953	272	391	27	864	955	834	292	529	130	595	418	246	0	73	0	36	57	11	25	14	13	51	33	22	0	29	19	0	24	0	38	56	14	33
DJ_BAC_ASV_74	641	850	1005	1158	1368	1281	1629	325	647	18	716	884	743	19	36	0	32	60	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	24	0	45	175	86	82	1116	1317	223	211	154	39	1064	539	306	736	1263	189	124	351	102	77	84	91	106	159
DJ_BAC_ASV_22	0	0	0	0	0	0	0	0	0	0	0	0	0	482	255	112	191	112	252	104	124	360	339	231	744	399	289	569	543	362	436	209	334	171	110	382	525	321	277	187	302
DJ_BAC_ASV_100	428	369	754	610	967	1327	1322	344	174	55	640	976	497	0	27	0	0	0	0	11	23	13	18	0	2	9	0	10	10	14	0	0	18	9	10	0	14	13	16	8	22
DJ_BAC_ASV_19	0	0	0	0	0	0	0	0	0	0	0	0	0	362	131	229	371	195	233	664	355	366	334	726	350	403	659	366	338	325	389	226	282	239	139	176	163	90	147	164	135
DJ_BAC_ASV_26	13	68	168	38	26	4	18	118	41	322	37	39	75	33	62	46	64	39	102	106	153	133	97	220	41	115	307	166	153	485	251	119	241	872	874	689	275	408	534	72	481
DJ_BAC_ASV_9	26	434	18	25	27	174	267	240	449	45	32	23	81	365	598	167	308	819	1793	157	213	7	162	14	0	23	4	22	364	25	5	14	31	24	17	166	271	27	53	3	23
DJ_BAC_ASV_278	128	382	1167	894	735	667	1379	85	121	37	570	446	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_14	0	9	9	305	31	13	8	5	0	0	0	7	5	29	74	31	32	717	209	187	100	546	331	1216	73	108	328	434	233	315	108	326	383	135	191	69	54	43	60	53	74
DJ_BAC_ASV_64	592	322	449	454	441	1185	365	425	430	95	279	310	275	0	0	0	0	19	0	51	41	0	0	9	0	0	0	11	23	8	13	9	23	0	0	62	426	26	37	0	7
DJ_BAC_ASV_24	0	0	0	0	0	0	0	0	0	0	0	0	0	121	91	131	245	186	104	150	413	922	421	226	50	334	58	142	144	915	271	133	166	94	129	72	111	61	93	85	198
DJ_BAC_ASV_1312	302	158	606	622	722	489	397	164	189	130	707	545	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	2	0
DJ_BAC_ASV_6	38	65	15	14	0	0	0	106	48	9	28	14	13	67	83	203	378	344	307	167	119	150	80	500	51	53	389	556	753	248	163	99	61	51	24	21	59	58	80	35	63
DJ_BAC_ASV_57	196	95	59	54	60	38	0	65	199	229	32	163	135	25	138	42	30	20	127	54	155	187	205	160	27	13	31	22	49	31	20	65	99	398	249	285	181	452	518	73	261
DJ_BAC_ASV_225	143	32	299	525	95	60	17	254	102	1929	224	96	913	0	0	0	0	5	7	15	8	15	17	9	4	5	0	5	7	19	19	29	26	27	36	21	25	34	39	125	49
DJ_BAC_ASV_40	121	245	715	643	460	530	1022	84	126	15	366	295	189	43	36	24	41	43	17	31	0	0	0	0	0	0	6	0	0	0	14	0	0	0	0	6	0	0	0	0	0
DJ_BAC_ASV_33	23	45	21	25	46	28	0	0	0	38	21	15	102	188	246	266	288	121	97	328	289	361	341	161	109	53	22	42	44	65	44	78	351	67	116	51	114	91	111	47	66
DJ_BAC_ASV_65	198	87	398	326	434	291	175	291	105	33	375	606	437	87	28	94	73	6	17	14	19	3	5	0	0	0	3	11	11	14	6	3	4	20	6	23	226	37	42	5	3
DJ_BAC_ASV_28	0	0	0	0	0	0	0	0	0	0	0	0	0	30	49	0	0	29	145	118	53	308	221	73	470	196	90	144	101	230	547	508	133	109	267	107	131	88	132	51	116
DJ_BAC_ASV_23	87	152	338	359	402	146	266	40	93	11	267	290	223	171	270	147	256	213	161	0	83	0	47	46	0	30	0	0	59	31	0	0	29	0	20	0	0	21	55	0	47
DJ_BAC_ASV_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	152	2928	70	140	88	175	47	350	0	0	28	27	0	23	27	0	21	0	33	0	0	0	0	59	0
DJ_BAC_ASV_603	326	232	323	195	191	396	115	411	184	323	642	324	600	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	1	0
DJ_BAC_ASV_189	157	131	71	73	11	0	0	258	118	2191	47	0	325	0	18	0	20	13	25	31	52	64	46	14	28	15	16	14	14	24	34	32	57	32	45	29	25	44	38	50	43
DJ_BAC_ASV_38	11	40	16	0	0	0	0	10	28	0	0	0	0	44	46	36	83	49	76	92	629	152	143	242	44	94	124	101	171	271	153	72	154	127	98	132	86	119	156	213	166
DJ_BAC_ASV_3952	157	87	680	640	658	305	123	95	94	32	322	472	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_27	144	160	161	197	203	151	236	113	115	9	131	117	92	137	257	123	241	469	289	42	90	2	36	47	0	29	9	0	70	27	0	6	27	8	0	0	19	17	51	6	43
DJ_BAC_ASV_84	191	167	400	328	317	230	388	97	103	132	354	264	368	38	44	25	56	17	20	16	31	11	16	4	6	7	0	8	7	12	8	12	11	9	12	16	21	12	13	32	6
DJ_BAC_ASV_17	48	166	424	335	294	249	520	36	47	0	221	124	124	158	152	81	102	109	110	0	47	13	22	26	5	17	0	19	19	19	0	21	27	8	10	0	21	11	35	5	25
DJ_BAC_ASV_18	274	66	0	7	0	18	0	156	68	58	16	8	43	52	446	209	124	22	52	256	215	68	44	23	16	10	21	27	52	35	34	41	122	47	43	25	78	116	418	19	39
DJ_BAC_ASV_59	0	0	0	2	0	0	2	0	0	0	0	0	0	12	30	25	37	93	75	106	94	535	493	118	88	69	6	43	35	73	37	83	90	235	247	149	61	179	106	83	152
DJ_BAC_ASV_38254	37	0	25	36	22	0	0	75	34	945	849	365	738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_89	13	12	3	0	0	0	0	14	10	6	0	0	13	15	32	25	35	13	18	186	869	16	32	10	11	9	9	13	15	15	54	29	1407	11	27	13	36	26	76	19	21
DJ_BAC_ASV_1262	153	94	484	377	420	355	107	121	100	0	221	324	160	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_37	121	66	0	0	0	0	0	114	69	0	0	0	0	97	133	152	174	46	85	230	210	199	186	84	42	22	18	35	34	64	0	32	179	15	35	20	175	106	147	0	21
DJ_BAC_ASV_4059	221	202	94	122	199	468	555	175	99	15	131	261	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_81	0	2	0	0	0	0	0	0	0	0	0	0	0	377	37	190	292	131	389	72	421	15	176	29	1	73	3	3	22	39	14	14	31	21	5	2	12	19	70	1	38
DJ_BAC_ASV_662	500	127	112	98	90	386	78	422	179	47	109	82	126	0	0	0	0	0	0	0	0	0	6	0	0	0	0	10	6	11	11	12	19	12	12	7	0	0	0	20	4
DJ_BAC_ASV_4	0	0	0	0	0	0	0	0	0	0	0	0	0	419	370	117	233	133	134	83	130	11	71	117	9	46	10	8	92	33	15	33	43	16	8	28	58	50	76	25	90
DJ_BAC_ASV_1161	384	206	31	0	0	30	44	180	255	942	28	40	178	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0
DJ_BAC_ASV_7783	92	85	15	21	0	4	3	148	68	654	576	205	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_68	0	5	0	0	0	0	0	0	0	0	0	0	0	12	37	30	16	17	20	19	13	6	8	14	1	0	0	30	15	11	155	60	82	108	214	105	312	286	185	255	333
DJ_BAC_ASV_138	48	11	6	114	11	16	2	4	5	4	17	108	28	3	11	10	14	6	15	18	6	14	10	22	8	18	17	49	46	1028	85	16	143	36	20	48	40	31	108	12	64
DJ_BAC_ASV_75	39	17	0	22	0	0	0	0	30	0	8	0	0	0	44	45	0	39	12	0	37	121	90	56	100	48	24	51	61	159	56	170	91	131	189	126	43	120	97	147	63
HHN_BAC_ASV_35	183	39	223	225	143	238	51	232	120	161	253	110	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_31	0	0	0	0	0	0	0	37	0	0	0	0	0	58	60	103	182	161	139	175	104	60	43	172	31	26	172	95	154	76	63	36	32	27	24	15	29	34	46	34	39
DJ_BAC_ASV_48	0	0	0	0	0	0	0	0	0	0	0	0	0	51	21	0	18	54	248	147	114	194	138	53	15	28	0	34	46	234	77	76	103	71	66	21	43	54	50	69	183
DJ_BAC_ASV_80	16	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	51	17	52	74	52	259	258	31	113	59	18	29	40	66	54	168	53	101	184	125	13	82	91	109	43
DJ_BAC_ASV_1708	108	120	231	170	224	280	369	63	70	11	180	207	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
