"","NO3","PO4","TOC","NH4","Temp","Sal","pH","Dep"
"CJ1_B_At",0.233,0.0062,1,0.26,22.7,34.2,8.19,4.945
"CJ1_B_Fr",0.233,0.0062,1,0.26,22.7,34.2,8.19,4.945
"CJ1_S_At",0.724,0.0102,1.2,0.159,22.3,34,8.16,0.938
"CJ1_S_Fr",0.724,0.0102,1.2,0.159,22.3,34,8.16,0.938
"LG1_B_At",0.214,0.0068,7.7,0.102,20,32.8,8.17,6.316
"LG1_B_Fr",0.214,0.0068,7.7,0.102,20,32.8,8.17,6.316
"LG1_S_At",0.214,0.0062,2.5,0.266,19.9,32.5,8.174,1.021
"LG1_S_Fr",0.214,0.0062,2.5,0.266,19.9,32.5,8.174,1.021
"LG2_B_Fr",0.174,0.0056,4.8,0.164,20,32.9,8.16,4.877
"LG2_S_At",0.129,0.0081,1.1,0.098,20,32.6,8.15,1.085
"LG2_S_Fr",0.129,0.0081,1.1,0.098,20,32.6,8.15,1.085
"SY1_B_At",0.191,0.0059,7.2,0.273,24.3,33.7,8.13,6.641
"SY1_B_Fr",0.191,0.0059,7.2,0.273,24.3,33.7,8.13,6.641
"SY1_S_At",0.359,0.0062,4.6,0.058,24.4,33.4,8.08,0.508
"SY1_S_Fr",0.359,0.0062,4.6,0.058,24.4,33.4,8.08,0.508
"SY2_B_At",0.156,0.005,0.9,0.052,24.4,34,8.15,3.707
"SY2_B_Fr",0.156,0.005,0.9,0.052,24.4,34,8.15,3.707
"SY2_S_At",0.136,0.0034,2.1,0.065,24.4,33.7,8.15,1.009
"SY2_S_Fr",0.136,0.0034,2.1,0.065,24.4,33.7,8.15,1.009
"WC1_B_At",0.191,0.0034,3,0.293,20.3,32.7,8.25,2.96
"WC1_B_Fr",0.191,0.0034,3,0.293,20.3,32.7,8.25,2.96
"WC1_S_At",0.178,0.0053,3.1,0.392,20.3,32.3,8.25,1.005
"WC1_S_Fr",0.178,0.0053,3.1,0.392,20.3,32.3,8.25,1.005
"WC2_B_At",0.197,0.0052,5.9,0.537,20.3,32.8,8.2,2
"WC2_B_Fr",0.197,0.0052,5.9,0.537,20.3,32.8,8.2,2
"WC2_S_At",0.174,0.0047,4.6,0.734,20.4,32.7,8.18,0.898
"WC2_S_Fr",0.174,0.0047,4.6,0.734,20.4,32.7,8.18,0.898
"W18_A",0.111,6e-04,0.2,0.044,30.1,33.75,8.17,0.335
"W19_A",0.186,9e-04,0.4,0.057,30.1,33.91,8.17,9.5
"W20_A",0.133,0.0022,0.01,0.009,29.3,32.28,8.04,0.2
"W21_A",0.196,6e-04,0.01,0.071,29,32.5,8.04,11.75
"W22_A",0.187,0.0016,0.5,0.082,30.6,33.86,8.08,0.39
"W23_A",0.159,6e-04,0.01,0.081,29.4,33.98,8.07,19.6
"W24_A",0.172,0.0046,0.01,0.093,30.8,33.75,8.11,0.43
"W25_A",0.172,0.0043,0.01,0.058,29.5,34.8,8.11,21.5
"W26_A",0.174,0.0071,0.6,0.116,30.2,34.62,8.13,0.56
"W27_A",0.194,6e-04,0.01,0.082,28.9,34.7,8.12,16.8
"W28_A",0.279,0.0016,0.2,0.152,28.7,33.76,8.14,0.97
"W29_A",0.157,6e-04,0.8,0.123,28.3,33.81,8.12,20.379
"W30_A",0.177,0.0062,0.7,0.088,29,33.72,8.12,0.647
"W31_A",0.205,0.0023,1.2,0.136,28.7,33.75,8.11,17.505
"W32_A",0.2391,0.038557143,0.914285714,0.136142857,28.9,33.71,8.14,0.84
"W33_A",0.378,0.0054,0.9,0.126,28.5,33.73,8.15,14.235
"W34_A",0.457,0.1637,1.6,0.308,28.6,33.64,8.1,0.462
"W35_A",0.411,0.069,0.9,0.093,28.3,33.69,8.1,14.078
"W36_A",0.0587,0.0031,1,0.137,28.8,33.73,8.14,0.937
"W37_A",0.126,0.0124,0.6,0.066,28.4,33.75,8.12,16.626
"W38_A",0.139,0.0031,0.6,0.08,28.8,33.69,8.14,0.586
"W39_A",0.104,0.0132,0.8,0.143,28.5,33.71,8.14,13.444
"W40_A",0.138,0.0034,2.6,0.133,29.1,33.63,8.09,0.846
"W41_A",0.133,9e-04,0.6,0.112,29.1,33.63,8.09,4.517
"W42_A",0.26,0.0022,1.1,0.119,30.3,33.67,8.16,0.788
"W43_A",0.187,6e-04,1,0.039,28.7,33.62,8.13,12.242
"W44_A",0.166,0.0302,0.8,0.093,28.7,33.58,8.14,0.296
"W45_A",0.138,0.007,0.8,0.036,28.6,33.65,8.14,10.692
